"
PLS_Infrastructure / נתוני תשתיות פריט 3
Organization Code Parameter: 'PLS', Item Number Parameter: '02%'"

"ORG","Item Number","ENG Description","HEB Description","Status Code","Lifecycle Phase","Make / Buy","Unit Weight","Marketing Package","Pack Qty"
"PLS","02205104","NOT ACTIVE-SEAL FOR SLOPE REGULATOR   REPLACED BY 02205084)","NOT ACTIVE--אטם לשובר לחץ  לניפל 02205","Inactive","Retirement","Buy",0.0004,"MAS",50000
"PLS","02205105","WASHER FOR SLOPE REGULATOR","דיסקית אטם לשובר לחץ ניפל","Active","Production","Make",0.000355,"MAS",50000
"PLS","02205106","SCREW FOR SLOPE REGULATOR 4x12","בורג לשובר לחץ  4x12","Active","Production","Buy",0.001,"MAS",10000
"PLS","02205107","SPOOL FOR SLOPE REGULATOR","מחלק  לשובר לחץ לניפל","Active","Production","Make",0.004135,"MAS",5000
"PLS","02205108","O-RING FOR SLOPE REGULATOR","אטם  גוף לשובר לחץ לניפל","Active","Production","Buy",0.004,"MAS",50000
"PLS","02205109","NOT ACTIVE- ALUMINIUM PROFILE - 25 RAW","NOT ACTIVE-- .פרופיל אלומיניום גלמי 25","Inactive","Retirement","Buy",1.01,"",0
"PLS","02205110","ALUMINUM PROFILE 3M - FOR TUBE 25",".פרופיל אל' לצינור 25 3מ'","Active","Production","Buy",1,"PCA",28
"PLS","02205114","NOT ACTIVE- WATER CONTROL PANEL COMP. 2","NOT ACTIVE-- ראש בית קומ 2","Inactive","Retirement","Make",1.922,"MAS",12
"PLS","02205115","NOT ACTIVE-WATER CONTROL PANEL 25MM+ CHECK VALVE 2","NOT ACTIVE- - ראש בית 25 מ""מ +אלחוזר 2","Inactive","Retirement","Make",2.188,"MAS",10
"PLS","02205115KIT","NOT ACTIVE-ראש בית אלחוזר 2","NOT ACTIVE--ראש בית אלחוזר 2","Inactive","Retirement","Make","","",0
"PLS","02205116","NOT ACTIVE-WATER CONTROL PANEL 25MM COMP. WITH PIPE","NOT ACTIVE- - ראש בית 25 מ""מ קומ עם צנור","Inactive","Retirement","Make",2.188,"MAS",0
"PLS","02205117","NOT ACTIVE- WATER CONTROL PANEL WITH CHECK VALVE + PIPE","NOT ACTIVE-- ראש בית עם אל-חוזר קומ+צנור","Inactive","Retirement","Make",2.188,"MAS",10
"PLS","02205118","FITTING 20-25 FOR PRESSURE REGULATOR FOR BROILER CUP","מחבר 20-25 לוסת לחץ לכוסיות רפד","Active","Production","Buy",0.009,"MAS",2500
"PLS","02205119","FITTING 20-25 FOR PERFORATED PIPE","מחבר לצינור מחורר25-20","Active","Production","Buy",0.007785,"MAS",2500
"PLS","02205120","CONNECTOR FOR PERFORATED PIPE 25","מחבר לצינור מחורר 25","Active","Production","Buy",0.00825,"MAS",2400
"PLS","02205121","SEAL 15-3.8 FOR PIPE CONNECTOR P42","גומיה15-3.8למחבר צנורP42","Active","Production","Buy",0.001,"MAS",32000
"PLS","02205122","INSERT FITTING + SEALS 25","מחבר צינור +25גומיות","Active","Production","Buy",0.01,"MAS",2400
"PLS","02205123","PERFORATED PIPE 3M/13HOLES FOR NIPPLES","צנור מחורר 13חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205125","PIPE CONNECTOR 25 FOR CAGES COM","מחבר צינור 25 ניפל סוללה קומ'","Active","Production","Make",0.025,"MAS",800
"PLS","02205126","NOT ACTIVE- PIPE CONN ./CAGE  NIPPLE","NOT ACTIVE--  מחבר 52  CVP  לניפל סוללות","Inactive","Retirement","Make",0.005,"",0
"PLS","02205127","SEAL FOR FITTING 25 FOR CAGES",".אטם למחבר 25לניפל סוללות","Active","Production","Buy","","",0
"PLS","02205128","SLOPE REGULATOR SPOOL ASSEMBLY","מחלק קומפלט לשובר לחץ","Active","Production","Make",0.005,"MAS",5000
"PLS","02205129","NOT ACTIVE- PVC UNPERFORATED PIPE 25MM - 56CM.","NOT ACTIVE-- צנור גלמי25PVCמ""מ56ס""מ","Inactive","Retirement","Make",0.096,"MAS",0
"PLS","02205130","PVC UNPERFORATED PIPE 25 X 3005 MM","צינור PVC גולמי 25x 3005 ממ לניפל","Active","Production","Buy",0.529,"PCR",0
"PLS","02205131","PERFORATED PIPE 3M/10 HOLES FOR NIPPLES","צנור מחורר  10חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205132","PERFORATED PIPE 3M/12 HOLES FOR NIPPLES","צנור מחורר 12 חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205133","PERFORATED PIPE 3M/18 HOLES FOR NIPPLES","צנור מחורר 18 חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205134","PERFORATED PIPE 3M/14 HOLES FOR NIPPLES","צנור מחורר 14 חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205135","PERFORATED PIPE 3M/15 HOLES FOR NIPPLES","צנור מחורר 15 חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205136","PERFORATED PIPE 3M/6 HOLES FOR NIPPLES","צנור מחורר 6 חורים  לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205137","PERFORATED PIPE 3M/7 HOLES FOR NIPPLES","צנור מחורר 7 חורים  לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205138","PERFORATED PIPE 3M/8 HOLES FOR NIPPLES","צנור מחורר 8 חורים  לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205139","PERFORATED PIPE 3M/9 HOLES FOR NIPPLES","צנור מחורר 9  חורים לניפל","Active","Production","Make",0.55,"PCR",56
"PLS","02205140","PERFORATED PIPE 3M/3 HOLES FOR NIPPLES","צנור מחורר 3 חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205142","NOT ACTIVE- PART PIPE 32 PVC 20MM","NOT ACTIVE-- .קטע צנורPVC(20) 32מ""מ","Inactive","Retirement","Buy","","",0
"PLS","02205143","NOT ACTIVE- PART PIPE 40 PVC 20MM","NOT ACTIVE-- .קטע צנורPVC(20) 40 מ""מ","Inactive","Retirement","Buy","","",0
"PLS","02205144","NOT ACTIVE- PART PIPE 124 PVC 20MM","NOT ACTIVE-- .קטע צנורPVC(20) 124 מ""מ","Inactive","Retirement","Buy","","",0
"PLS","02205145","NOT ACTIVE- FLEXIBLE TUBE 70CM - CLEAR","NOT ACTIVE-- .צנור שקוף גמיש 70 ס""מ","Inactive","Retirement","Buy","","",0
"PLS","02205146","NOT ACTIVE- FLEXIBLE TUBE 50CM - CLEAR","NOT ACTIVE-- .צנור שקוף גמיש 50 ס""מ","Inactive","Retirement","Buy","","",0
"PLS","02205147","CAP PLUG T-5",".מכסה לצנור (5 T)","Active","Production","Buy",0.0042,"MAS",30000
"PLS","02205148","SHOCKER INSULATOR FOR NIPPLE","מבודד חשמלי לניפל","Active","Production","Make",0.01423,"MAS",3500
"PLS","02205149","SHOCKER SPRING FOR ELECTRIC CABLE",".קפיץ לכבל חשמלי","Active","Production","Buy",0.021,"MAS",2700
"PLS","02205150","THREADED SOCKET 1/4"" - 12010304048",".מופה 1/4 12010304048","Active","Production","Buy",0.003,"MAS",8500
"PLS","02205151","POLYPROPYLENE BALL 3/8""",".כדור פוליפרופילן 3/8","Active","Production","Buy",0.0004,"MAS",80000
"PLS","02205152","PERFORATED PIPE 3M/11 HOLES FOR NIPPLES","צנור מחורר 11חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205153","PERFORATED PIPE 3M/16 HOLES FOR NIPPLES","צנור מחורר 16חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205154","PIPE 3M 17H FOR NIPPLE","צנור מחורר 17  חורים לניפל","Inactive","Retirement","Buy",0.5,"PCR",0
"PLS","02205155","PERFORATED PIPE 3M/20 HOLES FOR NIPPLES","צנור מחורר 20חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205156","PERFORATED PIPE 3M/4 HOLES FOR NIPPLES","צנור מחורר 4 חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205157","PERFORATED PIPE 3M/5 HOLES FOR NIPPLES","צנור מחורר 5 חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205158","PERFORATED PIPE 3M/30 HOLES FOR NIPPLES","צנור מחורר 30 חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205159","NOT ACTIVE- PVC UNPREFORATED PIPE 25 X 3000 MM","NOT ACTIVE-- צינור PVC גולמי 25x 3000 ממ לניפל","Inactive","Retirement","Buy",0.52,"PCR",0
"PLS","02205160","TRANSPARENT FLEXIBLE PIPE 60CM.",".צנור שקוף גמיש 60 ס""מ","Active","Production","Buy",0.07,"MAS",100
"PLS","02205161","TRANSPARENT  FLEXIBLE PIPE 80CM","צינור שקוף גמיש 80 ס""מ","Active","Production","Buy",0.082,"MAS",100
"PLS","02205162","NOT ACTIVE- ALUMINIUM PROFILE 117.64"" - FOR 10' TUBE 25","NOT ACTIVE-- פרופיל אל' ""117.64 לצינור 25 באורך 10 רגל","Inactive","Retirement","Buy","","",0
"PLS","02205164","PERFORATED PIPE 3M/24 HOLES FOR NIPPLES","צנור מחורר 24 חורים לניפל","Active","Production","Make",0.5,"PCR",56
"PLS","02205165","WATER TANK BYPASS (2 BAR) KIT","ערכת מעקף מיכלים ללול (2 בר)","Active","Production","Make",1.194,"MAS",15
"PLS","02205166","WATER TANK BYPASS (0.7 BAR) KIT","ערכת מעקף מיכלים ללול (0.7 בר)","Active","Production","Make","","MAS",0
"PLS","02205167","ALUMINUM PROFILE 2940 MM - FOR TUBE 25","פרופיל אל' לצינור 25 2940 מ""מ","Active","Production","Buy",1,"PCA",28
"PLS","02205170","LARGE O-RING 15-4 FOR LARGE PIPE FITTING",".גומיה15-4למחבר צנור גדול","Active","Production","Buy",0.001,"MAS",50000
"PLS","02205172","ANODIZED ALUMINUM PROFILE 2940 MM - FOR TUBE 25","פרופיל מאולגן אל' לצינור 25 2940 מ""מ","Active","Production","Buy",1,"PCA",28
"PLS","02205175","PRESSURE INDICATOR STABILIZER","מייצב  למראה לחץ","Active","Production","Buy",0.093,"MAS",400
"PLS","02205176","PRESSURE INDICATOR  STABILIZER SET","ערכת מייצב  למראה לחץ","Active","Production","Make",0.1,"MAS",400
"PLS","02205180","PVC PIPE 25 FOR NIPPLES- 4 METERS","צנור גלמי 25 PVC  לניפל 4 מטר","Active","Production","Buy","","",0
"PLS","02205181","WOD LINE HEAD (60) FOR FLUSH SYS COM","ראש קו (60 ס""מ) לויסות מרכזי ושטיפה אוטו' קומ.","Active","Production","Make",1.2,"MAS",15
"PLS","02205182","PERFORATED PIPE 4M/20 HOLES FOR NIPPLES","צנור מחורר 4מטר20 חורים לניפל","Active","Production","Make",0.519,"PCR",56
"PLS","02205183","NOT ACTIVE- PERFORATED PIPE 4M/13 HOLES FOR NIPPLES","NOT ACTIVE-- צנור מחורר 4מטר13 חורים לניפל","Inactive","Retirement","Make",0.519,"PCR",0
"PLS","02205184","PRESS.REG.ADAPTOR FOR TIGSA 1/2","PRESS.REG.ADAPTOR FOR TIGSA 1/2","Active","Production","Make","","MAS",0
"PLS","02205185","LINE HEAD (60) + ADAPTOR 1/2"" - TIGSA","ראש קו (60) ווסת + מתאם 1/2 טיגסה","Active","Production","Make","","",0
"PLS","02205186","IVORY NIPPLE WITHOUT TRAY","ניפל שנהב בלי מגש קומ","Active","Production","Make",0.015,"MAS",1600
"PLS","022051861","NOT ACTIVE-WAS REPLACED BY 02205186 IVORY NIPPLE W/O TRAY(PACKED)","NOT ACTIVE-ניפל שנהב בלי מגש קומ. לא ארוז  הפך ל 02205186","Inactive","Retirement","Make","","MAS",0
"PLS","02205187","NIPPLE HOUSING - IVORY- A","בית ניפל שנהב- A","Active","Production","Make",0.00654,"MAS",1600
"PLS","02205188","NOT ACTIVE-J-NIPPLE HOUSING - DARK BLUE","NOT ACTIVE-בית ניפל J כחול כהה","Inactive","Retirement","Make","","MAS",1600
"PLS","02205189","NOT ACTIVE-J-NIPPLE HOUSING - PURPLE","NOT ACTIVE-בית ניפל J סגול","Inactive","Retirement","Make","","MAS",5000
"PLS","02205190","NOT ACTIVE-J-NIPPLE HOUSING - YELLOW","NOT ACTIVE-בית ניפל J צהוב","Inactive","Retirement","Make",0.00345,"MAS",5000
"PLS","02205191","NIPPLE HOUSING - BORDEU","לא פעיל-בית ניפל  בורדו","Inactive","Retirement","Make",0.003,"MAS",1600
"PLS","02205192","NOT ACTIVE-J-NIPPLE HOUSING - MAROON","NOT ACTIVE-בית ניפל  J בורדו","Inactive","Retirement","Make",0.00344,"MAS",5000
"PLS","02205193","THREADED NIPPLE HOUSING YELLOW","בית ניפל תבריג צהוב","Active","Production","Make",0.0015,"MAS",12000
"PLS","02205194","NIPPLE HOUSING - PURPLE- A","בית ניפל סגול- A","Active","Production","Make","","MAS",1600
"PLS","02205195","NIPPLE HOUSING - DARK BLUE- E","בית ניפל כחול כהה- E","Active","Production","Make",0.007,"MAS",1600
"PLS","02205196","NOT ACTIVE- NIPPLE BODY","NOT ACTIVE-- גוף ניפל פלסטי","Inactive","Retirement","Make",0.007,"MAS",0
"PLS","02205197","NOT ACTIVE - THREADED NIPPLE HOUSING - RED","לא פעיל - בית ניפל תבריג אדום","Inactive","Retirement","Make",0.001483,"MAS",12000
"PLS","02205198","THREADED NIPPLE HOUSING - ORANGE","בית ניפל תבריג כתום","Active","Production","Make",0.00147,"MAS",12000
"PLS","02205199","WATER CONTROL PANEL 32MM WITH SOFTENER COM.","ראש בית 32 מ""מ עם מרכך קומ.","Active","Production","Make",3.06,"MAS",8
"PLS","02205201","SADDLE 25 FOR BATTERY NIPPLES","רוכב 25 לניפל סוללות","Active","Production","Make",0.005885,"MAS",3000
"PLS","02205202","YELLOW NIPPLE WITHOUT TRAY","ניפל צהוב בלי מגש קומ","Active","Production","Make",0.014,"MAS",1600
"PLS","022052021","NOT ACTIVE-REPLACED BY 02205202 YELLOW NIPPLE W/O TRAY(PACKED)","NOT ACTIVE-ניפל צהוב בלי מגש קומ. (לא ארוז)  הפך ל 002205202","Inactive","Retirement","Make",0.014,"MAS",0
"PLS","02205203","NIPPLE HOUSING - ORANGE- B","בית ניפל כתום- B","Active","Production","Make",0.006,"MAS",1600
"PLS","02205204","NIPPLE HOUSING - YELLOW- A","בית ניפל צהוב- A","Active","Production","Make","","MAS",1600
"PLS","02205205","NIPPLE TO TUBE ADAPTOR + SHUTOFF","מתאם ניפל צינורית קומ","Active","Production","Make",0.02,"MAS",600
"PLS","02205206","NIPPLE HOUSING - ORANGE REDUCED- A","בית ניפל כתום מופתת- A","Active","Production","Make","","MAS",1600
"PLS","02205207","NOT ACTIVE- NIPPLE HOUSING YELLOW REDUCED","NOT ACTIVE-- בית ניפל צהוב מופחת","Inactive","Retirement","Make","","",0
"PLS","02205208","NOT ACTIVE- NIPPLE YELLOW DIV. REDUCED","NOT ACTIVE-- ניפל צהוב מופחת","Inactive","Retirement","Make",0.002,"",0
"PLS","02205209","NIPPLE HOUSING - BROWN- B","בית ניפל חום- B","Active","Production","Make",0.00648,"MAS",1600
"PLS","02205210","NIPPLE HOUSING - GREY- C","בית ניפל אפור- C","Active","Production","Make","","MAS",1600
"PLS","02205211","NOT ACTIVE-NIPPLE HOUSING - RED","NOT ACTIVE--בית ניפל אדום","Inactive","Retirement","Make","","MAS",1600
"PLS","02205212","NIPPLE HOUSING - DARK GREY- C","בית ניפל אפור כהה- C","Active","Production","Make","","MAS",1600
"PLS","02205213","NOT ACTIVE-J-NIPPLE HOUSING - ORANGE","NOT ACTIVE-בית ניפל חיבור J כתום","Inactive","Retirement","Make",0.00343,"MAS",5000
"PLS","02205214","NOT ACTIVE-J NIPPLE RED","NOT ACTIVE-ניפל J אדום","Inactive","Retirement","Make",0.012,"MAS",5000
"PLS","022052141","NOT ACTIVE-J-NIPPLE RED -  NOT PACKEDNOT","NOT ACTIVE--ניפל לא ארוז J אדום קומ","Inactive","Retirement","Make","","",0
"PLS","02205215","NOT ACTIVE - J-NIPPLE HOUSING - RED","לא פעיל - בית ניפל J אדום","Inactive","Retirement","Make",0.00345,"MAS",5000
"PLS","02205216","NOT ACTIVE- COVER FOR NIPPLE REPLACEMENT -J CONNECT.","NOT ACTIVE-- מכסה ניפל חילופי-חיבור J","Inactive","Retirement","Make",0.00057,"MAS",0
"PLS","02205217","NOT ACTIVE-SEAL 11-2 FOR J-NIPPLE P49","NOT ACTIVE-.אטם ניפל J 2-11 P49-","Inactive","Retirement","Buy","","MAS",100000
"PLS","02205218","J NIPPLE ORANGE FOR BROILER","ניפל J כתום לפטם","Active","Production","Make",0.011,"MAS",5000
"PLS","022052181","NOT ACTIVE-J-NIPPLE ORANGE -  PACKED ","NOT ACTIVE-ניפל לא ארוז J כתום קומ","Inactive","Retirement","Make","","",0
"PLS","02205219","NIPPLE HOUSING FOR ADAPTOR TO TUBE","בית ניפל מתאם לצינור","Active","Production","Make",0.00673,"MAS",12000
"PLS","02205220","S/S BODY C FOR NIPPLE","גוף אל חלד לניפל C","Active","Production","Buy",0.00025,"MAS",5000
"PLS","02205221","PRESSURE GAUGE WITH NEEDLE","מד לחץ סיכה","Active","Production","Make","","MAS",0
"PLS","02205222","S/S BODY A FOR NIPPLE","גוף אל  חלד לניפל A","Active","Production","Buy","","",0
"PLS","02205223","J NIPPLE YELLOW FOR BROILER","ניפל J צהוב לפטם","Active","Production","Make",0.011,"MAS",5000
"PLS","022052231","NOT ACTIVE-J-NIPPLE YELLOW- PACKED ","NOT ACTIVE-ניפל לא ארוז J צהוב קומ","Inactive","Retirement","Make","","",0
"PLS","02205224","EXTERNAL SLOPE REGULATOR 15 CM W/O PRESSURE INDICATOR W/O TEE","שובר לחץ מחבר חיצוני 15 ס""מ ללא מראה לחץ וללא טי","Active","Production","Make","","MAS",0
"PLS","02205225","S/S BODY B FOR NIPPLE","גוף B לפעולה אנכית לניפל","Active","Production","Buy","","",0
"PLS","02205226","NOT ACTIVE- HOUSING FOR THREADED NIPPLE SIDE ACTION","NOT ACTIVE-- .גוף ניפל תבריג פעולת צד","Inactive","Retirement","Buy","","",0
"PLS","02205227","SEAL 2.5-9.4 FOR J-NIPPLE MK2",".אטם ניפל 2/J 9.4X2.5","Active","Production","Buy",0.002,"",0
"PLS","02205228","NOT ACTIVE-S/S BODY C ETGAR","NOT ACTIVE-גוף  אל חלד לניפל C אתגר-","Inactive","Retirement","Buy","","",0
"PLS","02205229","THREADED NIPPLE HOUSING - GREY","בית ניפל תבריג אפור","Active","Production","Make",0.0014,"MAS",12000
"PLS","02205230","S/S PIN FOR NIPPLE","פין  אל חלד לניפל","Active","Production","Buy",0.001,"MAS",50000
"PLS","02205231","NOT ACTIVE- PIN FOR THREADED NIPPLE - SIDE ACTION","NOT ACTIVE-- .פין ניפל תבריג פעולת צד","Inactive","Retirement","Buy","","",0
"PLS","02205232","THREADED NIPPLE HOUSING - DARK GREY","בית ניפל תבריג אפור כהה","Active","Production","Make",0.00147,"MAS",12000
"PLS","02205233","NOT ACTIVE-THREADED NIPPLE HOUSING - MAROON","NOT ACTIVE--בית ניפל תבריג בורדו","Inactive","Retirement","Make",0.00149,"MAS",0
"PLS","02205234","NOT ACTIVE-GREY NIPPLE VER 7 W/O TRAY","NOT ACTIVE- - ניפל אפור ורסיה 7 בלי מגש קומ","Inactive","Retirement","Make","","MAS",0
"PLS","02205235","S/S BODY C VER 7 FOR NIPPLE      ","גוף C ורסיה 7 לניפל","Inactive","Retirement","Buy",0.007,"MAS",1600
"PLS","02205236","S/S WEIGHT VER 7 FOR NIPPLE           ","משקולת ורסיה 7 לניפל","Inactive","Retirement","Buy",0.003,"MAS",20000
"PLS","02205237","GREY NIPPLE FOR BROILER","ניפל אפור לפטם","Active","Production","Make",0.015,"MAS",1600
"PLS","02205238","S/S BODY C VER 9 FOR NIPPLE           ","גוף C ורסיה 9 לניפל","Active","Production","Buy",0.007,"MAS",1600
"PLS","02205239","S/S WEIGHT VER 9 FOR NIPPLE       ","משקולת ורסיה 9 לניפל","Active","Production","Buy",0.003,"MAS",20000
"PLS","02205240","NOT ACTIVE-S/S WEIGHT FOR J-NIPPLE","NOT ACTIVE-משקולת אל חלד לניפל J","Inactive","Retirement","Buy",0.035,"MAS",50000
"PLS","02205241","NOT ACTIVE- S/S  WEIGHT FOR C NIPPLE","NOT ACTIVE-- משקולת אל  חלד לניפל  C","Inactive","Retirement","Buy","","",0
"PLS","02205242","S/S PIN VER 9 FOR NIPPLE           ","פין ורסיה 9 לניפל","Active","Production","Buy",0.002,"MAS",20000
"PLS","02205243","S/S BODY A VER 7 FOR NIPPLE    ","גוף A ורסיה 7 לניפל","Inactive","Retirement","Buy",0.007,"MAS",1600
"PLS","02205245","S/S WEIGHT FOR NIPPLE","משקולת אל חלד לניפל  מיברג","Active","Production","Buy",0.003,"MAS",49999
"PLS","02205246","SLOPE REGULATOR 10 CM + PRESSURE INDICATOR (60) + S. CONNECTOR","שובר לחץ 10 ס""מ + מראה לחץ (60) ומגשר קצר","Active","Production","Make",0.512,"MAS",50
"PLS","02205247","GLUE-ON SADDLE FOR THREADED NIPPLE 3/4",".רוכב דבק ניפל תבריג 3/4","Active","Production","Buy",0.003,"MAS",8000
"PLS","02205248","NOT ACTIVE- GLUE-ON SADDLE FOR THREADED NIPPLE 20","NOT ACTIVE-- .רוכב דבק ניפל תבריג 20","Inactive","Retirement","Buy","","",0
"PLS","02205249","GLUE-ON SADDLE FOR THREADED NIPPLE 25",".רוכב דבק ניפל תבריג 25","Active","Production","Buy",0.003,"MAS",7000
"PLS","02205250","NOT ACTIVE- WEIGHT FOR THREADED NIPPLE SIDE ACTION","NOT ACTIVE-- .משקולת ניפל תבריג פעולת צד","Inactive","Retirement","Buy","","MAS",1600
"PLS","02205252","NIPPLE FOR LAYERS TM-101",".ניפל מטילות TM-101","Active","Production","Buy",0.007,"MAS",20000
"PLS","02205253","SLOPE REGULATOR 10 CM + INDICATOR (60) + S.CONNECTOR + STABILIZER COM","שובר לחץ 10 ס""מ עם מראה לחץ (60) מגשר קצר ומייצב קומ","Active","Production","Make",0.62,"MAS",100
"PLS","02205254","SLOPE REGULATOR 10 CM + PRESSURE INDICATOR (60) + L. CONNECTOR","שובר לחץ 10 ס""מ + מראה לחץ (60) ומגשר ארוך","Active","Production","Make",0.421,"BRC",50
"PLS","02205255","SLOPE REGULATOR 10 CM + INDICATOR (60) + L. CONNECTOR + STABILIZER COM","שובר לחץ 10 ס""מ עם מראה לחץ (60) מגשר ארוך ומייצב קומ.","Active","Production","Make",0.675,"MAS",50
"PLS","02205256","SLOPE REGULATOR 10 CM + PRESSURE INDICATOR (80) + S. CONNECTOR","שובר לחץ 10 ס""מ + מראה לחץ (80) ומגשר קצר","Active","Production","Make","","",0
"PLS","02205257","SLOPE REGULATOR 10 CM + INDICATOR (80) +S.  CONNECTOR + STABILIZER COM","שובר לחץ 10 ס""מ עם מראה לחץ (80) מגשר קצר ומייצב קומ","Active","Production","Make","","MAS",0
"PLS","02205258","ADJUSTABLE BRACKET FOR LAYER NIPPLE4338",".עגלה נושאת לניפל מטילות(4338)","Inactive","Retirement","Buy",0.027,"MAS",400
"PLS","02205259","SLIDING FRAME FOR LAYER NIPPLE (4339)",".פרופיל ניפל מטילות(4339)","Inactive","Retirement","Buy",0.036,"MAS",600
"PLS","02205260","TRAY FOR SQUARE PIPE 22 MM","מגש לצינור מרובע 22 מ""מ","Active","Production","Buy","","MAS",300
"PLS","02205261","TRANSPARENT FLEXIBLE PIPE IN ROLL W/ PRINT- 50M","צנור שקוף גמיש בגליל עם הדפסה 50 מ'","Active","Production","Buy",6.2,"MAS",2
"PLS","02205262","SNAP ON PLUG FOR NIPPLE SET","סט פקק תפס לניפל","Active","Production","Make",0.004,"MAS",2400
"PLS","02205263","NOT ACTIVE-MAROON NIPPLE WITHOUT TRAY.","NOT ACTIVE-- ניפל בורדו בלי מגש קומ.","Inactive","Retirement","Make",0.014,"MAS",1600
"PLS","022052631","NOT ACTIVE-REPLACED BY 02205263 MAROON NIPPLE WITHOUT TRAY(PACKED)","NOT ACTIVE-ניפל בורדו בלי מגש קומ. לא ארוז  הפך ל 02205263","Inactive","Retirement","Make",0.014,"MAS",1600
"PLS","02205264","NOT ACTIVE-J NIPPLE MAROON","NOT ACTIVE-ניפל J בורדו","Inactive","Retirement","Make",0.012,"MAS",5000
"PLS","022052641","NOT ACTIVE-J-NIPPLE - MAROON PACKED ","NOT ACTIVE-ניפל J בורדו קומ","Inactive","Retirement","Make",0.00347,"",0
"PLS","02205265","NOT ACTIVE-RED NIPPLE WITH TRAY","NOT ACTIVE--ניפל אדום עם מגש קומ","Inactive","Retirement","Make",0.039,"MAS",300
"PLS","02205266","SLOPE REGULATOR 10 CM + INDICATOR (80) + L. CONNECTOR + STABILIZER COM","שובר לחץ 10 ס""מ עם מראה לחץ (80) מגשר ארוך ומייצב קומ","Active","Production","Make","","MAS",0
"PLS","02205267","SLOPE REGULATOR 10 CM + PRESSURE INDICATOR (80) + L. CONNECTOR","SLOPE REGULATOR 10 CM + PRESSURE INDICATOR (80) + L. CONNECTOR","Active","Production","Make","","",0
"PLS","02205268","WOD MID LINE (60) FOR FLUSH SYS COM","אמצע קו (60 ס""מ) לויסות מרכזי ושטיפה אוטו' קומ.","Active","Production","Make","","MAS",0
"PLS","02205270","NOT ACTIVE-REPLACED BY 02205350-THREADED RED NIPPLE - LAYERS","NOT ACTIVE-ניפל תבריג אדום קומ-  הוחלף ע""י 02205350","Inactive","Retirement","Buy",0.007,"MAS",16000
"PLS","02205271","EXTERNAL CONNECTOR INLET FOR SLOPE REGULATOR GROOVED","כניסה מחבר חיצוני לשובר לחץ - חרוט","Active","Production","Make",0.0356,"",0
"PLS","022052717","EXTERNAL INLET FOR SLOPE REGULATOR (LIGHT GREY) INJECTED","כנ' (נקבה) שובר לחץ אפור בהיר מוזרק","Active","Production","Make","","",0
"PLS","022052727","EXTERNAL OUTLET FOR SLOPE REGULATOR  (LIGHT GREY) INJECTED","יצ' (זכר) שובר לחץ אפור בהיר מוזרק","Active","Production","Make",0.048,"",0
"PLS","02205273","NOT ACTIVE- HOUSING FOR THREADED ORANGE NIPPLE","NOT ACTIVE-- בית ניפל תבריג כתום","Inactive","Retirement","Make","","",0
"PLS","02205274","NOT ACTIVE- S/S WEIGHT FOR THREADED NIPPLE","NOT ACTIVE-- משקולת  אל חלד לניפל תבריג","Inactive","Retirement","Buy","","",0
"PLS","02205275","NOT ACTIVE- S/S PIN FOR THREADED NIPPLE","NOT ACTIVE-- פין אל  חלד לניפל תבריג","Inactive","Retirement","Buy",0.001,"",0
"PLS","02205276","NOT ACTIVE- S/S BODY FOR THREADED NIPPLE","NOT ACTIVE-- גוף  אל חלד לניפל תבריג","Inactive","Retirement","Buy","","",0
"PLS","02205277","PLASTIC BOX FOR FREQUENCY CONVERTER","מארז פלסטיק לממיר תדר","Active","Production","Buy","","",0
"PLS","02205278","FREQUENCY CONVERTER SET (FOR WOD)","ערכת ממיר תדר (עבור וויסות מרכזי)","Active","Production","Make","","",0
"PLS","02205279","PRESSURE SENSOR 0-4 BAR SET(FOR WOD CONTROLLER)","ערכת מתמר לחץ 0-4 בר (עבור מערכת וויסות מרכזי)","Active","Production","Make","","",0
"PLS","02205280","DARK BLUE NIPPLE FOR PULLETS","ניפל כחול כהה לפרגיות","Active","Production","Make",0.016,"MAS",1600
"PLS","022052801","NOT ACTIVE- DARK BLUE NIPPLE W/O TRAY (NOT PACKED)","NOT ACTIVE-- ניפל כחול כהה ללא מגש קומ. לא ארוז","Inactive","Retirement","Make","","MAS",0
