"
PLS_BOM_Reports / BOM components 2
Organization Code Parameter: 'PLS, MST', Assembly Item Parameter: '02%'"

"Assembly Number","Assembly Description","Assembly Hebrew Description","Assembly Status Code","ORG","Bom Name","Component Number","Component Description","Component Hebrew Description","Component Status Code","Component Quantity"
"","","","","","","02310108","LOW REGULATOR FOR FEEDER PAN 1-6","רגולטור נמוך לצלחת מאביס 1-6","Active",1
"","","","","","","02310123","SHUTOFF PLATE FOR FEEDER PAN","לשונית סגר לגוף מאביס","Active",1
"","","","","","","02310170","CONE FOR TURKEY/BROILER PAN (V1)","קונוס לצלחת מאביס הודו/פטם (גרסה 1)","Active",1
"","","","","","","02310180","FEEDER PAN LOCKER (V1)","מנעול מאביס (גרסה 1)","Active",1
"02310170","CONE FOR TURKEY/BROILER PAN (V1)","קונוס לצלחת מאביס הודו/פטם (גרסה 1)","Active","MST","ALT01","00000440","MB. RED KAFRIT 3XPPH0504880","MB אדום P-5488 כפרית","Active",0.0013
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",1
"","","","","","ALT02","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0508
"","","","","","ALT03","00004065","PP Globalene 7533 LCY","PP Globalene 7533 LCY","Active",0.0519349
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0013317
"","","","","","ALT04","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0013278
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0517855
"","","","","","ALT08","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.0521
"","","","","","ALT09","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0013
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0508
"","","","","","Primary","00004375","PP NATURAL+RED 4052+443","PP NATURAL+RED 4052+443","Active",0.0521
"","","","","PLS","ALT01","00000440","MB. RED KAFRIT 3XPPH0504880","MB אדום P-5488 כפרית","Active",0.0013
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",1
"","","","","","ALT02","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0508
"","","","","","ALT03","00004065","PP Globalene 7533 LCY","PP Globalene 7533 LCY","Active",0.0519349
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0013317
"","","","","","ALT04","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0013278
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0517855
"","","","","","ALT08","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.0521
"","","","","","ALT09","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0013
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0508
"","","","","","Primary","00004375","PP NATURAL+RED 4052+443","PP NATURAL+RED 4052+443","Active",0.0521
"02310180","FEEDER PAN LOCKER (V1)","מנעול מאביס (גרסה 1)","Active","MST","ALT01","00000440","MB. RED KAFRIT 3XPPH0504880","MB אדום P-5488 כפרית","Active",0.0006
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0248
"","","","","","ALT02","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0248
"","","","","","ALT03","00004065","PP Globalene 7533 LCY","PP Globalene 7533 LCY","Active",0.0248008
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0006359
"","","","","","ALT04","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0006391
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0249242
"","","","","","ALT08","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.0254
"","","","","","ALT09","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0006
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0248
"","","","","","Primary","00004375","PP NATURAL+RED 4052+443","PP NATURAL+RED 4052+443","Active",0.0254
"","","","","PLS","ALT01","00000440","MB. RED KAFRIT 3XPPH0504880","MB אדום P-5488 כפרית","Active",0.0006
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0248
"","","","","","ALT02","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0248
"","","","","","ALT03","00004065","PP Globalene 7533 LCY","PP Globalene 7533 LCY","Active",0.0248008
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0006359
"","","","","","ALT04","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0006391
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0249242
"","","","","","ALT08","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.0254
"","","","","","ALT09","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0006
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0248
"","","","","","Primary","00004375","PP NATURAL+RED 4052+443","PP NATURAL+RED 4052+443","Active",0.0254
"02310185","COUPLER PIPE FOR BROILER 300MM SET","ערכת מחבר צינור תיקון לפטם 300 ממ","Active","MST","Primary","02310008","GALV.PIPE CLAMP","חבק צינור מגולוון","Active",2
"","","","","","","02310186","COUPLER PIPE FOR BROILER 300MM","מחבר צינור תיקון לפטם 300 ממ","Active",1
"02310188","FEEDER PAN W/O CLAMP FOR TURKEYS","צלחת מאביס להודים ללא חבק מונע החלקה","Active","MST","Primary","02310537","FEEDER PAN FOR TURKEYS SET","FEEDER PAN FOR TURKEYS SET","Active",1
"","","","","","","02310526","COLLAR FOR TURKEYS FEEDER PAN SET","COLLAR FOR TURKEYS FEEDER PAN SET","Active",1
"02310193","CEILING HOOK FOR TURKEY METAL HOUSE KIT","ערכת מתלה לתקרת מתכת להודים","Active","MST","Primary","02310199","HOOK FOR METAL TURKEY HOUSE","מתלה תקרת מתכת להודים","Active",1
"","","","","","","02310147","SELF DRILLING SCREW 1/4""-1"" W/ WASHER","בורג קודח 1/4""-1 עם שייבה","Active",2
"","","","","PLS","Primary","02310199","HOOK FOR METAL TURKEY HOUSE","מתלה תקרת מתכת להודים","Active",1
"","","","","","","02310147","SELF DRILLING SCREW 1/4""-1"" W/ WASHER","בורג קודח 1/4""-1 עם שייבה","Active",2
"02310201","NOT ACTIVE- SS FEED HOPPER DOUBLE W/ M-SWITCH (UNTIL 10/2005)","NOT ACTIVE-- הופר נירוסטה כפול עם מיקרוסויטש קומ (עד 10/2005)","Inactive","MST","Primary","02310045","SCREW M8×20","בורג 8 ממ×20","Active",6
"","","","","","","02310051","ELECTRIC PLUG (MALE ADAPTOR)","תקע חשמל זכר","Active",1
"","","","","","","02310053","NUT 8MM","אום משושה 8 מ""מ","Active",6
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",6
"","","","","","","02310065","ELECTRIC SOCKET (FEMALE ADAPTOR)","שקע  חשמל נקבה","Active",1
"","","","","","","02310079","IRON BALL  HOLLOW","כדור ברזל חלול","Active",1
"","","","","","","02310094","PLASSON STICKER FOR THE HOPPER","מדבקת פלסאון להופר","Active",2
"","","","","","","02310200","PLASTIC  HOPPER","הופר   פלסטי","Active",1
"","","","","","","02310202","NOT ACTIVE- SS HOPPER BOOT - DOUBLE OUTLET","NOT ACTIVE-- בסיס הופר יציאה כפולה","Inactive",1
"","","","","","","02310206","NOT ACTIVE- LOCKROD FOR  HOPPER","NOT ACTIVE-- מוט נעילה להופר פלסטי קומ","Inactive",2
"","","","","","","02310210","NOT ACTIVE- PIPE SUPPORT","NOT ACTIVE-- תומך צנור","Inactive",2
"","","","","","","02310213","REINFORCING PLATE FOR HOPPER","פלטה חיזוק להופר","Active",2
"","","","","","","02310221","NOT ACTIVE- GUIDE FOR HOPPER SUPPORT","NOT ACTIVE-- מוביל לתומך הופר","Inactive",1
"","","","","","","02310222","HOPPER SUSPENSION SUPPORT","מתלה לתומך הופר","Active",2
"","","","","","","02310225","HOPPER SUSPENSION SET","ערכת תלייה להופר קומ","Active",1
"","","","","","","02310229","HOPPER INSTRUCTION LABEL (BR)","מדבקת הוראות להופר (BR)","Active",1
"","","","","","","02310230","SAFETY LABEL FOR HOPPER (BR)","מדבקת בטיחות להופר (BR)","Active",3
"","","","","","","02310431","WING NUT 8MM","אום פרפר 8 מ""מ","Active",2
"","","","","","","02310432","SPRING WASHER 10MM","שייבה קפיצית 10 מ""מ","Active",20
"","","","","","","02310433","SCREW M10×20MM","בורג 10×20ממ","Active",8
"","","","","","","02310455","RUBBER ADAPTOR FOR ELECTRIC CABLE","מתאם גומי לכבל חשמלי","Active",1
"","","","","","","02310525","EYE CLAMP DIA.45","מהדק עין 45מ""מ קומ","Active",2
"","","","","","","02310535","HOPPER SWITCH KIT - SHORT","מערכת מפסק הופר - קצר","Active",1
"","","","","","","02310590","NOT ACTIVE-HOPPER BOOT SHAFT SET DIA.21 VER.1(12/2004)","NOT ACTIVE--סט ציר להופר קוטר 21 גירסה 1 (12/2004)","Inactive",2
"","","","","","","02320004","SCREW M10×35","בורג 10ממ×35","Active",8
"","","","","","","02320014","NUT M10","אום 10 מ""מ","Active",20
"02310206","NOT ACTIVE- LOCKROD FOR  HOPPER","NOT ACTIVE-- מוט נעילה להופר פלסטי קומ","Inactive","MST","Primary","02310066","SCREW ROD 8MM","מוט תבריג 8מ""מ","Active",0.25
"","","","","","","02310458","NOT ACTIVE- ROUND HEAD NUT 8MM","NOT ACTIVE-- אום ראש עגול 8 מ""מ","Inactive",1
"02310215","HOPPER SWITCH COM","מפסק להופר קומ","Active","MST","Primary","02310551","FEED HOPPER SWITCH BODY","גוף למפסק הופר","Active",1
"","","","","","","02310552","FEED HOPPER SWITCH SIDE","דופן למפסק הופר","Active",2
"","","","","","","02310553","FEED HOPPER SWITCH FLEXIBLE PROTECTION","מגן גמיש למפסק הופר","Active",1
"","","","","","","02310554","FIX. PLATE FOR FEED HOPPER SWITCH SIDE","פלטת קיבוע  דופן מפסק ההופר","Active",2
"","","","","","","02310571","FIX. SUPPORT SCALE SWITCH","תומך למפסק הופר","Active",1
"","","","","","","02310572","SCALE SWITCH W/LEVER ROD 50MM (TURK T2K)","מפסק  מנוף  מוט 50 ממ (TURK T2","Active",1
"","","","","","","02310573","DRIVE SHEET SCALE SWITCH W/LEVER","פלטת הפעלה למפסק  מנוף עם מוט 50 ממ","Active",1
"","","","","","","02320026","SLOTTED SCREW M5-10","בורג מחורץ 5-10","Active",4
"","","","","","","02320023","NUT M5","אום 5 מ""מ","Active",4
"","","","","","","02310472","ALUMINUM RIVET M4×12MM","ניט אלומניום 4×12 ממ","Active",6
"","","","","","","02310722","SCREW M6-16","בורג 6 ממ- 16","Active",2
"","","","","","","02320017","NUT M6","אום 6 מ""מ","Active",2
"","","","","","","02310808","SLOTTED CYLIN.HEAD SCREW  M4x35 MM","בורג ראש מחורץ 4 ממ- 35","Active",2
"","","","","","","02310809","SPRING WASHER 4 MM","שייבה קפיצית 4 ממ","Active",2
"","","","","","","02310810","HEX NUT M4","אום משושה  4 ממ","Active",2
"","","","","","","02310782","FLAT WASHER 3/16"" (BRASS)","שייבה שטוחה ""3/16 (נחושת)","Active",2
"","","","","","","02310805","OMRON M-SWITCH PROTECTION","הגנה למיקרוסוויטש אומרון","Active",1
"","","","","","","02310050","ELECTRIC CABLE 2 X 0.75MM FLEXIBLE","כבל חשמל 2X0.75MM גמיש","Active",0.85
"","","","","","","02310136","PLASTIC BUSHING PG 3/8""","דיבל פלסטי ""PG 3/8","Active",1
"","","","","","","02320025","WASHER M5","שייבה 5 ממ","Active",4
"","","","","","","02320018","SPRING WASHER 6MM","שייבה קפיצית 6 מ""מ","Active",4
"","","","","","","02310779","CLAMP T18R","T18R מהדק","Active",1
"","","","","PLS","Primary","02310551","FEED HOPPER SWITCH BODY","גוף למפסק הופר","Active",1
"","","","","","","02310552","FEED HOPPER SWITCH SIDE","דופן למפסק הופר","Active",2
"","","","","","","02310553","FEED HOPPER SWITCH FLEXIBLE PROTECTION","מגן גמיש למפסק הופר","Active",1
"","","","","","","02310554","FIX. PLATE FOR FEED HOPPER SWITCH SIDE","פלטת קיבוע  דופן מפסק ההופר","Active",2
"","","","","","","02310571","FIX. SUPPORT SCALE SWITCH","תומך למפסק הופר","Active",1
"","","","","","","02310572","SCALE SWITCH W/LEVER ROD 50MM (TURK T2K)","מפסק  מנוף  מוט 50 ממ (TURK T2","Active",1
"","","","","","","02310573","DRIVE SHEET SCALE SWITCH W/LEVER","פלטת הפעלה למפסק  מנוף עם מוט 50 ממ","Active",1
"","","","","","","02320026","SLOTTED SCREW M5-10","בורג מחורץ 5-10","Active",4
"","","","","","","02320023","NUT M5","אום 5 מ""מ","Active",4
"","","","","","","02310472","ALUMINUM RIVET M4×12MM","ניט אלומניום 4×12 ממ","Active",6
"","","","","","","02310722","SCREW M6-16","בורג 6 ממ- 16","Active",2
"","","","","","","02320017","NUT M6","אום 6 מ""מ","Active",2
"","","","","","","02310808","SLOTTED CYLIN.HEAD SCREW  M4x35 MM","בורג ראש מחורץ 4 ממ- 35","Active",2
"","","","","","","02310809","SPRING WASHER 4 MM","שייבה קפיצית 4 ממ","Active",2
"","","","","","","02310810","HEX NUT M4","אום משושה  4 ממ","Active",2
"","","","","","","02310782","FLAT WASHER 3/16"" (BRASS)","שייבה שטוחה ""3/16 (נחושת)","Active",2
"","","","","","","02310805","OMRON M-SWITCH PROTECTION","הגנה למיקרוסוויטש אומרון","Active",1
"","","","","","","02310050","ELECTRIC CABLE 2 X 0.75MM FLEXIBLE","כבל חשמל 2X0.75MM גמיש","Active",0.85
"","","","","","","02310136","PLASTIC BUSHING PG 3/8""","דיבל פלסטי ""PG 3/8","Active",1
"","","","","","","02320025","WASHER M5","שייבה 5 ממ","Active",4
"","","","","","","02320018","SPRING WASHER 6MM","שייבה קפיצית 6 מ""מ","Active",4
"","","","","","","02310779","CLAMP T18R","T18R מהדק","Inactive",1
"02310220","PLASTIC HOPPER BOOT ADAPTOR SET","ערכת מתאם פלסטי לבסיס הופר.","Active","MST","Primary","02310234","PLASTIC HOPPER BOOT ADAPTOR GRILL","סורג מתאם פלסטי לבסיס הופר","Active",1
"","","","","","","02310248","PLASTIC HOPPER BOOT ADAPTOR","מתאם פלסטי לבסיס הופר","Active",1
"","","","","PLS","Primary","02310234","PLASTIC HOPPER BOOT ADAPTOR GRILL","סורג מתאם פלסטי לבסיס הופר","Inactive",1
"","","","","","","02310248","PLASTIC HOPPER BOOT ADAPTOR","מתאם פלסטי לבסיס הופר","Inactive",1
"02310225","HOPPER SUSPENSION SET","ערכת תלייה להופר קומ","Active","MST","Primary","02205605","CABLE 1/8"" - 7×7 PER METER","כבל ""1/8 7×7 (לפי מטר)","Active",12
"","","","","","","02310457","CABLE HEIGHT ADJUSTER","מכוון גובה כבל","Active",2
"","","","","","","02320001","CABLE CLAMP 1/8""","מהדק כבל 1/8""","Active",4
"","","","","","","02310020","STEEL PULLEY 3.1/2""","גלגלת3.1/2"" מתכת","Active",2
"","","","","PLS","Primary","02205605","CABLE 1/8"" - 7×7 PER METER","כבל ""1/8 7×7 (לפי מטר)","Active",12
"","","","","","","02310457","CABLE HEIGHT ADJUSTER","מכוון גובה כבל","Active",2
"","","","","","","02320001","CABLE CLAMP 1/8""","מהדק כבל 1/8""","Active",4
"","","","","","","02310020","STEEL PULLEY 3.1/2""","גלגלת3.1/2"" מתכת","Active",2
"02310240","NOT ACTIVE- SS FEED HOPPER SINGLE W/ MICRO SWITCH(L.L.-UNTIL 10/2005)","NOT ACTIVE-- בסיס הופר נירוסטה בודד עם מיקרוסוויטש קו אחרון(עד 10/2005)","Inactive","MST","Primary","02310045","SCREW M8×20","בורג 8 ממ×20","Active",6
"","","","","","","02310051","ELECTRIC PLUG (MALE ADAPTOR)","תקע חשמל זכר","Active",1
"","","","","","","02310053","NUT 8MM","אום משושה 8 מ""מ","Active",6
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",6
"","","","","","","02310065","ELECTRIC SOCKET (FEMALE ADAPTOR)","שקע  חשמל נקבה","Active",1
"","","","","","","02310079","IRON BALL  HOLLOW","כדור ברזל חלול","Active",1
"","","","","","","02310094","PLASSON STICKER FOR THE HOPPER","מדבקת פלסאון להופר","Active",2
"","","","","","","02310200","PLASTIC  HOPPER","הופר   פלסטי","Active",1
"","","","","","","02310205","NOT ACTIVE- SS HOPPER BOOT - SINGLE OUTLET","NOT ACTIVE-- בסיס הופר נירוסטה יציאה בודדת","Inactive",1
"","","","","","","02310206","NOT ACTIVE- LOCKROD FOR  HOPPER","NOT ACTIVE-- מוט נעילה להופר פלסטי קומ","Inactive",2
"","","","","","","02310210","NOT ACTIVE- PIPE SUPPORT","NOT ACTIVE-- תומך צנור","Inactive",1
"","","","","","","02310213","REINFORCING PLATE FOR HOPPER","פלטה חיזוק להופר","Active",2
"","","","","","","02310221","NOT ACTIVE- GUIDE FOR HOPPER SUPPORT","NOT ACTIVE-- מוביל לתומך הופר","Inactive",1
"","","","","","","02310222","HOPPER SUSPENSION SUPPORT","מתלה לתומך הופר","Active",2
"","","","","","","02310225","HOPPER SUSPENSION SET","ערכת תלייה להופר קומ","Active",1
"","","","","","","02310229","HOPPER INSTRUCTION LABEL (BR)","מדבקת הוראות להופר (BR)","Active",1
"","","","","","","02310230","SAFETY LABEL FOR HOPPER (BR)","מדבקת בטיחות להופר (BR)","Active",3
"","","","","","","02310431","WING NUT 8MM","אום פרפר 8 מ""מ","Active",2
"","","","","","","02310432","SPRING WASHER 10MM","שייבה קפיצית 10 מ""מ","Active",12
"","","","","","","02310433","SCREW M10×20MM","בורג 10×20ממ","Active",4
"","","","","","","02310455","RUBBER ADAPTOR FOR ELECTRIC CABLE","מתאם גומי לכבל חשמלי","Active",1
"","","","","","","02310525","EYE CLAMP DIA.45","מהדק עין 45מ""מ קומ","Active",1
"","","","","","","02310536","HOPPER SWITCH KIT - LAST LINE","מערכת מפסק הופר קו אחרון קומ","Active",1
"","","","","","","02310590","NOT ACTIVE-HOPPER BOOT SHAFT SET DIA.21 VER.1(12/2004)","NOT ACTIVE--סט ציר להופר קוטר 21 גירסה 1 (12/2004)","Inactive",1
"","","","","","","02320004","SCREW M10×35","בורג 10ממ×35","Active",4
"","","","","","","02320014","NUT M10","אום 10 מ""מ","Active",12
"02310241","NOT ACTIVE- SS FEED HOPPER DOUBLE W/MICRO SWITCH(L.L.-UNTIL 10/2005)","NOT ACTIVE-- בסיס הופר נירוסטה כפול עם מירוסוויטש קו אחרון(עד 10/2005)","Inactive","MST","Primary","02310045","SCREW M8×20","בורג 8 ממ×20","Active",16
"","","","","","","02310051","ELECTRIC PLUG (MALE ADAPTOR)","תקע חשמל זכר","Active",1
"","","","","","","02310053","NUT 8MM","אום משושה 8 מ""מ","Active",6
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",6
"","","","","","","02310065","ELECTRIC SOCKET (FEMALE ADAPTOR)","שקע  חשמל נקבה","Active",1
"","","","","","","02310079","IRON BALL  HOLLOW","כדור ברזל חלול","Active",1
"","","","","","","02310094","PLASSON STICKER FOR THE HOPPER","מדבקת פלסאון להופר","Active",2
"","","","","","","02310200","PLASTIC  HOPPER","הופר   פלסטי","Active",1
"","","","","","","02310202","NOT ACTIVE- SS HOPPER BOOT - DOUBLE OUTLET","NOT ACTIVE-- בסיס הופר יציאה כפולה","Inactive",1
"","","","","","","02310206","NOT ACTIVE- LOCKROD FOR  HOPPER","NOT ACTIVE-- מוט נעילה להופר פלסטי קומ","Inactive",2
"","","","","","","02310210","NOT ACTIVE- PIPE SUPPORT","NOT ACTIVE-- תומך צנור","Inactive",2
"","","","","","","02310213","REINFORCING PLATE FOR HOPPER","פלטה חיזוק להופר","Active",2
"","","","","","","02310217","NOT ACTIVE- TELESCOPIC PIPE SUPPORT","NOT ACTIVE-- תומך צינור טלסקופי","Inactive",1
"","","","","","","02310221","NOT ACTIVE- GUIDE FOR HOPPER SUPPORT","NOT ACTIVE-- מוביל לתומך הופר","Inactive",1
"","","","","","","02310222","HOPPER SUSPENSION SUPPORT","מתלה לתומך הופר","Active",2
"","","","","","","02310225","HOPPER SUSPENSION SET","ערכת תלייה להופר קומ","Active",1
"","","","","","","02310229","HOPPER INSTRUCTION LABEL (BR)","מדבקת הוראות להופר (BR)","Active",1
"","","","","","","02310230","SAFETY LABEL FOR HOPPER (BR)","מדבקת בטיחות להופר (BR)","Active",3
"","","","","","","02310431","WING NUT 8MM","אום פרפר 8 מ""מ","Active",2
"","","","","","","02310432","SPRING WASHER 10MM","שייבה קפיצית 10 מ""מ","Active",20
"","","","","","","02310433","SCREW M10×20MM","בורג 10×20ממ","Active",8
"","","","","","","02310455","RUBBER ADAPTOR FOR ELECTRIC CABLE","מתאם גומי לכבל חשמלי","Active",1
"","","","","","","02310525","EYE CLAMP DIA.45","מהדק עין 45מ""מ קומ","Active",2
"","","","","","","02310536","HOPPER SWITCH KIT - LAST LINE","מערכת מפסק הופר קו אחרון קומ","Active",1
"","","","","","","02310590","NOT ACTIVE-HOPPER BOOT SHAFT SET DIA.21 VER.1(12/2004)","NOT ACTIVE--סט ציר להופר קוטר 21 גירסה 1 (12/2004)","Inactive",2
"","","","","","","02320004","SCREW M10×35","בורג 10ממ×35","Active",8
"","","","","","","02320014","NUT M10","אום 10 מ""מ","Active",20
"02310242","NOT ACTIVE- GALV. FEED HOPPER SINGLE (UNTIL 10/2005)","NOT ACTIVE-- בסיס הופר  מגולוון יציאה בודדת (עד 10/2005)","Inactive","MST","Primary","02310045","SCREW M8×20","בורג 8 ממ×20","Active",6
"","","","","","","02310051","ELECTRIC PLUG (MALE ADAPTOR)","תקע חשמל זכר","Active",1
"","","","","","","02310053","NUT 8MM","אום משושה 8 מ""מ","Active",6
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",6
"","","","","","","02310065","ELECTRIC SOCKET (FEMALE ADAPTOR)","שקע  חשמל נקבה","Active",1
"","","","","","","02310079","IRON BALL  HOLLOW","כדור ברזל חלול","Active",1
"","","","","","","02310094","PLASSON STICKER FOR THE HOPPER","מדבקת פלסאון להופר","Active",2
"","","","","","","02310200","PLASTIC  HOPPER","הופר   פלסטי","Active",1
"","","","","","","02310206","NOT ACTIVE- LOCKROD FOR  HOPPER","NOT ACTIVE-- מוט נעילה להופר פלסטי קומ","Inactive",2
"","","","","","","02310210","NOT ACTIVE- PIPE SUPPORT","NOT ACTIVE-- תומך צנור","Inactive",1
"","","","","","","02310213","REINFORCING PLATE FOR HOPPER","פלטה חיזוק להופר","Active",2
"","","","","","","02310221","NOT ACTIVE- GUIDE FOR HOPPER SUPPORT","NOT ACTIVE-- מוביל לתומך הופר","Inactive",1
"","","","","","","02310222","HOPPER SUSPENSION SUPPORT","מתלה לתומך הופר","Active",2
"","","","","","","02310225","HOPPER SUSPENSION SET","ערכת תלייה להופר קומ","Active",1
"","","","","","","02310229","HOPPER INSTRUCTION LABEL (BR)","מדבקת הוראות להופר (BR)","Active",1
"","","","","","","02310230","SAFETY LABEL FOR HOPPER (BR)","מדבקת בטיחות להופר (BR)","Active",3
"","","","","","","02310246","NOT ACTIVE- GALV.HOPPER  BOOT SINGLE (10/2005)","NOT ACTIVE-- בסיס הופר מגולוון יציאה בודדת(10/2005)","Inactive",1
"","","","","","","02310431","WING NUT 8MM","אום פרפר 8 מ""מ","Active",2
"","","","","","","02310432","SPRING WASHER 10MM","שייבה קפיצית 10 מ""מ","Active",12
"","","","","","","02310433","SCREW M10×20MM","בורג 10×20ממ","Active",4
"","","","","","","02310455","RUBBER ADAPTOR FOR ELECTRIC CABLE","מתאם גומי לכבל חשמלי","Active",1
"","","","","","","02310525","EYE CLAMP DIA.45","מהדק עין 45מ""מ קומ","Active",1
"","","","","","","02310535","HOPPER SWITCH KIT - SHORT","מערכת מפסק הופר - קצר","Active",1
"","","","","","","02310590","NOT ACTIVE-HOPPER BOOT SHAFT SET DIA.21 VER.1(12/2004)","NOT ACTIVE--סט ציר להופר קוטר 21 גירסה 1 (12/2004)","Inactive",1
"","","","","","","02320004","SCREW M10×35","בורג 10ממ×35","Active",4
"","","","","","","02320014","NUT M10","אום 10 מ""מ","Active",12
"","","","","PLS","Primary","02310045","SCREW M8×20","בורג 8 ממ×20","Active",6
"","","","","","","02310051","ELECTRIC PLUG (MALE ADAPTOR)","תקע חשמל זכר","Active",1
"","","","","","","02310053","NUT 8MM","אום משושה 8 מ""מ","Active",6
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",6
"","","","","","","02310065","ELECTRIC SOCKET (FEMALE ADAPTOR)","שקע  חשמל נקבה","Active",1
"","","","","","","02310079","IRON BALL  HOLLOW","כדור ברזל חלול","Active",1
"","","","","","","02310094","PLASSON STICKER FOR THE HOPPER","מדבקת פלסאון להופר","Inactive",2
"","","","","","","02310200","PLASTIC  HOPPER","הופר   פלסטי","Active",1
"","","","","","","02310206","NOT ACTIVE- LOCKROD FOR  HOPPER","NOT ACTIVE-- מוט נעילה להופר פלסטי קומ","Inactive",2
"","","","","","","02310210","NOT ACTIVE- PIPE SUPPORT","NOT ACTIVE-- תומך צנור","Inactive",1
"","","","","","","02310213","REINFORCING PLATE FOR HOPPER","פלטה חיזוק להופר","Active",2
"","","","","","","02310221","NOT ACTIVE- GUIDE FOR HOPPER SUPPORT","NOT ACTIVE-- מוביל לתומך הופר","Inactive",1
"","","","","","","02310222","HOPPER SUSPENSION SUPPORT","מתלה לתומך הופר","Active",2
"","","","","","","02310225","HOPPER SUSPENSION SET","ערכת תלייה להופר קומ","Active",1
"","","","","","","02310229","HOPPER INSTRUCTION LABEL (BR)","מדבקת הוראות להופר (BR)","Inactive",1
"","","","","","","02310230","SAFETY LABEL FOR HOPPER (BR)","מדבקת בטיחות להופר (BR)","Active",3
"","","","","","","02310246","NOT ACTIVE- GALV.HOPPER  BOOT SINGLE (10/2005)","NOT ACTIVE-- בסיס הופר מגולוון יציאה בודדת(10/2005)","Inactive",1
"","","","","","","02310431","WING NUT 8MM","אום פרפר 8 מ""מ","Active",2
"","","","","","","02310432","SPRING WASHER 10MM","שייבה קפיצית 10 מ""מ","Active",12
"","","","","","","02310433","SCREW M10×20MM","בורג 10×20ממ","Inactive",4
"","","","","","","02310455","RUBBER ADAPTOR FOR ELECTRIC CABLE","מתאם גומי לכבל חשמלי","Active",1
"","","","","","","02310525","EYE CLAMP DIA.45","מהדק עין 45מ""מ קומ","Inactive",1
"","","","","","","02310535","HOPPER SWITCH KIT - SHORT","מערכת מפסק הופר - קצר","Active",1
"","","","","","","02310590","NOT ACTIVE-HOPPER BOOT SHAFT SET DIA.21 VER.1(12/2004)","NOT ACTIVE--סט ציר להופר קוטר 21 גירסה 1 (12/2004)","Inactive",1
"","","","","","","02320004","SCREW M10×35","בורג 10ממ×35","Active",4
"","","","","","","02320014","NUT M10","אום 10 מ""מ","Active",12
