"
PLS_BOM_Reports / BOM components 2
Organization Code Parameter: 'PLS, MST', Assembly Item Parameter: '02%'"

"Assembly Number","Assembly Description","Assembly Hebrew Description","Assembly Status Code","ORG","Bom Name","Component Number","Component Description","Component Hebrew Description","Component Status Code","Component Quantity"
"","","","","PLS","Primary","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.0123
"","","","","","","00000297","NATURAL  KAFRIT + UV 3XPPHU000990","כפרית UV+טבעי 3XPPHU000990","Active",0.00037
"02100018","CORD ADJUSTER FOR DRINKER","מכוון גובה החבל לשוקת","Active","MST","ALT02","00005237","POM AMCEL KP 20","AC 20KP AMCEL  מטיקונה (F20)","Active",0.00273
"","","","","","Primary","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00273
"","","","","PLS","Primary","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00273
"021000181","NOT ACTIVE-( REPLACED BY 02100018)CORD ADJUSTER FOR B.DRINKER INJECTED PACKED","NOT ACTIVE-מכוון גובה החבל לשוקת מוזרק לא ארוז ()","Inactive","MST","Primary","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00267
"","","","","PLS","Primary","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00267
"02100019","FILTER FOR B.DRINKER - WITHOUT BASE","מסנן לשוקת בלי תושבת.","Active","MST","Primary","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.000783
"","","","","PLS","Primary","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.000783
"02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active","MST","ALT01","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00164
"","","","","","","00000541","MB. GRAY KAFRIT 3XUNI0902280","MBאפור לאצטל כפריתM-9228(מתאם)","Active",0.000051
"","","","","","ALT02","00000541","MB. GRAY KAFRIT 3XUNI0902280","MBאפור לאצטל כפריתM-9228(מתאם)","Active",0.000051
"","","","","","","00005237","POM AMCEL KP 20","AC 20KP AMCEL  מטיקונה (F20)","Active",0.00164
"","","","","","Primary","00005226","AC POLYRAM LIGHT GRAY GR106D","AC GR106Dאפור בהיר פולירם","Active",0.0017
"","","","","PLS","ALT01","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00164
"","","","","","","00000541","MB. GRAY KAFRIT 3XUNI0902280","MBאפור לאצטל כפריתM-9228(מתאם)","Active",0.000051
"","","","","","Primary","00005226","AC POLYRAM LIGHT GRAY GR106D","AC GR106Dאפור בהיר פולירם","Active",0.0017
"02100025","PIN FOR UNION 1/4","פין לרקורד 1/4","Active","MST","ALT01","00005237","POM AMCEL KP 20","AC 20KP AMCEL  מטיקונה (F20)","Active",0.00104049
"","","","","","","00000541","MB. GRAY KAFRIT 3XUNI0902280","MBאפור לאצטל כפריתM-9228(מתאם)","Active",0.00001051
"","","","","","ALT02","00000541","MB. GRAY KAFRIT 3XUNI0902280","MBאפור לאצטל כפריתM-9228(מתאם)","Active",0.00001051
"","","","","","","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00104049
"","","","","","Primary","00005226","AC POLYRAM LIGHT GRAY GR106D","AC GR106Dאפור בהיר פולירם","Active",0.001051
"","","","","PLS","Primary","00005226","AC POLYRAM LIGHT GRAY GR106D","AC GR106Dאפור בהיר פולירם","Active",0.001051
"02100026","NIPPLE 1/4-1/4 FOR S/C","ניפל 1/4-1/4","Active","MST","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0021
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.0022
"","","","","PLS","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0021
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.0022
